reference,hypothesis
"Patient name is Mr. Rajesh Kumar. His age is 45 years. gender male, prescription is dated 7 September 2024. So, diagnosis is hypothyroidism and hypertension. Prescriptions are thyroxine sodium, thyronorm 50 mcg.","Patient name is Mr. Rajesh Kumar. His age is 45 years. Gender male. Prescription is dated 7th September 2024. So diagnosis is hypothyroidism and hypertension. Prescriptions are thyroxine sodium, thyronorm 50 MCG."
"OK. And Tablet ultracet SOS only if you're feeling very severe headache. Samajh gaya . You can take tablet Pantop. OK. In the morning, before food.",Okay. And tablet ultracet SOS only if you're feeling very severe headache. You can take tablet pantop. Okay. In the morning before food. Okay.
"Hifenac P tablet once a day after lunch for 7 days, and the patient should come to me after 1 week to show again. And there is no diagnosis as such, but I'm suspecting that there might be a dengue since it's a dengue season.",hyphenac tablet once a day after lunch for seven days and the patient should come to me after one week to show again. And there is no diagnosis as such but I am suspecting that there might be dengue since it's a dengue season.
"okay. Patient has reported fever. He has reported stomach pain since 3 days, and patient has a family history of hypertension wherein his mother has hypertension and also his father is suffering from diabetes mellitus type 2. I advise patient to take Dolo 650 tablet 3 times a day for fever. I want to him to take.",Move. Okay. Patient has reported fever. He has reported stomach pain since three days. And patient has a family history of hypertension wherein his mother has hypertension and also his father is suffering from diabetes mellitus type two. I advise patient to take Dolo 650 tablet three times a day for fever. I want to him to take
"So, yeah, doctor, I have a problem in my chest. I'm not able to breathe properly and I have a very high fever also from the last two days. Do you have any cough? yeah, little bit of cough I have.","So yeah doctor, I have a problem in my chest. I am not able to breathe properly and I have a very high fever also from last two days. You have any cough? Uh yeah, little bit of cough I have."
"So I recommend him to take Dolo whenever he has a fever, only when he gets fever. Also Allegra 120 mg, once every day after food, preferably in the night. Also because he's complaining of sore throat, so he should do gargle.",So I recommend him to take Dolo whenever he has a fever only when he gets fever. Also Allegra 120 mg once every day after food preferably in the night. Also because he is complaining of sore throat so he should do gargle.
"Patient mother has diabetes mellitus type 2. Patient should do complete body health checkup. Also, since it's a malaria season, patient should do malaria antigen test and dengue antigen test to see if that is causing the fever. Meanwhile, patient can take Dolo 650 tablet 3 times a day after meals for 6 days. Patient should continue Pantop DSR 40 mg tablet before breakfast for 20 days. Patient should continue temisartan.","Patient mother has diabetes mellitus type two. Patient should do complete body health checkup. Also since it's a malaria season, patient should do malaria antigen test and dengue antigen test to see if that is causing the fever. Meanwhile patient can take Dolo 650 tablet three times a day after meals for six days. Patient should continue Pantop DSR 40 mg tablet before breakfast for 20 days. Patient should continue Telmisartan 20"
"Patient is a follow-up case of body pain. He has fever since 3 days. Patient is feeling fatigued, nausea, and has acidity. Patient vitals are normal, more or less. Pulse is 76 BPM, temperature is 100 degree celsius. SPO2 is 98 degree percentage, and the patient has a history of hypertension since 6 years, and he has thyroid since 2 years.","Patient is a follow up case of body pain. He has fever since three days. Patient is feeling fatigued, nausea and has acidity. Patient vitals are normal more or less. Pulse is 76, BP and temperature is 100 degree Celsius. SPO2 is 98 degree percentage and patient has a history of hypertension since six years and he has thyroid since two years."
"So, Azithromycin should be good once every day. For his eyes, because they were dilating a lot, why don't you have pataday, Pataday eye drops three times a day.","So azithromycin should be good once every day. Uh for his eyes, uh because they were uh dilating a lot, uh why don't you have Pataday? Pataday eye drops three times a day."
"Amlodopine, amlodipine, Amlowas 5 mg, 1 tablet once daily in the morning. Continue as prescribed. Monitor blood pressure regularly, avoid excessive salt intake. Advise: follow balance diet, rich in fibre and low in sodium. Engage in moderate physical activities such as walking for at least 30 minutes daily.","Amlodopine, Amlodipine, Amlovas 5mg, one tablet once daily in the morning. Continuous prescribed. Monitor blood pressure regularly, avoid excessive salt intake. Advise follow a balanced diet rich in fiber and low in sodium. Engage in moderate physical activity such as walking for at least 30 minutes daily."
"like it's spreading. Oh, okay. That doesn't sound good. Okay, let me let me look at it. And cough jo aapne bola, yeh like aapko kab se hai? Like cough kab se ho raha hai? Yeh I think almost , paanch din almost ho gaye hain. Paanch din se ho raha hai? Yeah yeah. And is it something like do you have this cough when you are lying down or anytime? When, when I , when I get in a sitting position while lying down like, when I just stand up. Okay, that time it","like spreading. Oh, okay. That doesn't sound good. Okay, let me let me look at it. And cough jo aapne bola, ye like aapko kab se hai? Like cough kab se ho raha hai? Ye I think almost paanch din almost ho gaya. Paanch din se ho raha hai. Yeah, yeah. And is it something like do you have this cough when you're lying down or anytime? When when I when I get in a sitting position while lying down like when I just stand up. Okay, that time it is."
"So, I can hear mild wheezing. I think uh there is some wheezing present. Okay. let me, let me recommend , like , chest CT scan. aap ek baar woh karwa ke aaiye and uske baad dekhte hain ke kya, you know how do we take it forward.",So I can hear mild wheezing. I think there is some wheezing present. Uh let me let me recommend uh uh like chest CT scan. Uh aap ek baar wo karwa ke aaiye and uske baad dekhte hain ki kya you know how do we take it forward.
"pollution ki vajah se koi bhi issues hua nahi hai. okay, ek kaam karte hain like every city is different, let's not take chances. let's do one pollen anti allergy test . let's let's do it and then be confident about it . sure. also i think i would like to do a physical examination to see if there is wheezing and all. so, okay, let's say as a doctor if i'm performing some tests","pollution ke wajah se koi bhi issues hua nahi hai. Okay, ek kaam karte hai like every city is different, let's not take chances. Let's do one pollen anti allergy test. Let's let's do it and then we confident about it. Sure. Also, I think I would like to do a physical examination to see if there is wheezing and all. So okay, let's say as a doctor I'm performing some tests."
"turn it on. It doesn't matter like it doesn't have to be robotic. We don't have to ask doctors that hey they have to be like, be very robotic about it. But the accuracy is of course higher when they are sort of, when the environment is relatively quieter, when things the conversation is more structured, right? And hopefully like when doctors are using it, they will also know and then sort of get tuned to, ke woh kaise bolte hain toh accuracy achhi aaye.","turn it on. It doesn't matter like it doesn't have to be robotic. We don't have to ask doctors that hey they have to be like be very robotic about it. But the accuracy is of course higher when they are sort of when the environment is relatively quieter when things the conversation is more structured, right? And hopefully like when doctors are using it, they will also know and then sort of get tuned to ke wo kaise bolte hain to accuracy achi aegi. Yeah."
"Patient has stomach pain, headache, leg pain, wherein leg pain is, flowing through his back of the thigh. Patient has had history of spondylolisthesis . Currently it's recuperated. Patient also has an ACL of the left knee. I recommend patient taking tendolife tablet for.","Patient has stomach pain, headache, leg pain, wherein leg pain is flowing through his back of the thigh. Patient has had a history of spondylolisthesis. Currently it's recuperated. Patient also has an ACL of left knee. I recommend patient taking tendolife tablet for"
"Yeah so, so this is a chrome extension where we are sort of demoing, and then we'll also at the end of it we'll show like how this can be sort of leveraged to fill literally the prescription elements. One thing is like, like it doesn't have to be a robotic or a you know only medical conversations, because in reality there are so many things going on here and there there are so many interruptions from staff and like we will","Yeah, so so this is a Chrome extension where we are sort of demoing and then we'll also at the end of it we'll show like how this can be sort of leverage to fill literally the prescription elements. Uh one thing is like uh like it doesn't have to be a robotic or a you know, only medical conversations because in reality there are so many things going on here and there. There are so many interruptions from staff and like we will see."
"In the meanwhile, patients can take Dolo 650 three times a day, after meals for 6 days, and patients should take Pantop DSR 40 mg tablet for, 6 days before breakfast once a day. And, I advise patients to not have oily food, take enough rest, and, in case of, any emergency.","In the meanwhile, patient can take Dolo 650 three times a day after meals for six days. And patient should take Pantop DSR 40 mg tablet for six days before breakfast once a day. And I advise patient to not have oily food, take enough rest and in case of any emergency."
"Chest examination shows raz in the bases, which is a little unusual, and diffuse rhonchi on both lung fields. My asse. We asked for a lung function test, which shows so and so, so and so, and so and so. We also asked for a pheno which is showing an elevated value. Overall diagnosis is uncontrolled asthma. At this point, he will be treated.",Chest examination shows uh rales in the basis which is a little unusual and diffuse rhonchi on both lung fields. Um my we asked for a lung function test which shows so and so so and so and so and so. We've also asked for a pheno which is showing an elevated value. Overall diagnosis is uncontrolled asthma. At this point he will be treated
"Taken for a period of 4 weeks after which he's supposed to visit us, in case he becomes delayed, the treatment is to be continued. Other medications include B, C, and D. Non-medical aspects which is important is nutritional precautions which have been conveyed, lifestyle precautions which have been conveyed and given to him as an addendum. And at the same time, if this.","taken for a period of of four weeks after which he is supposed to visit us. In case he becomes delayed, the treatment is to be continued. Other medications include B, C and D. Non-medical aspects which is important is nutritional precautions which have been conveyed, lifestyle precautions which have been conveyed and given to him as a addendum and at the same time if this"
"Continues we have to get into other aspects such as, what are the precipitating factors including psychological or exercise regimens which may improve his overall condition. Preventive aspects include vaccination and the flu shot has been recommended to him, and he has been asked to follow up in 4 weeks, end of consultation.","continues, we have to get into other aspects such as what are the precipitating factors including psychological or exercise regimens which may improve his overall condition. Preventive aspects include vaccination and the flu shot has been recommended to him and he has been asked to follow up in four weeks. End of consultation."
"B and C, odd and further details are not known. On examination, he is otherwise stable. The ENT examination shows a congested nose with the DNS to the right, and oral examination shows slightly crowded airway but with a normal oropharynx.","B and C or and further details are not known. On examination, he is otherwise stable. Uh the ENT examination shows a congested nose with the DNS to the right and the oral examination shows a slightly crowded airway but with a normal oropharynx."
"He also has night symptoms which is disturbing his sleep, and he has no other issues with chronic diseases such as tuberculosis. He's young and not a hypertensive or a diabetic and he has no specific allergies. Medications include, taken so far include a",He also has night symptoms which is disturbing his sleep and he has no other issues with chronic diseases such as tuberculosis. He is young and not a hypertensive or a diabetic and he has no specific allergies. Medications include taken so far include A.
"I advise patient to do CT MRI. Also, patient seems to be pale, so I advise him to take, complete body health checkup. I also want to analyse iron levels, so patients should do complete iron profile test.","I advise patient to do CT MRI. Also, patient seems to be pale, so I advise him to take complete body health checkup. I also want to analyze iron level, so patient should do complete iron profile test."
"Patient reported stomach pain since 3 days. He also reported severe headache, which is happening since a month. Patient in the past have had, episodes of headaches, wherein, there was a throbbing pain. I'm suspecting migraine, but, to make any decision.",patient reported stomach pain since three days. He also reported severe headache which is happening since a month. Patient in the past have had episodes of headaches wherein there was a throbbing pain. I am suspecting migraine but to make any decision.
"And mild body ache since one day. Uh, please write medications, Crocin 500 mg twice a day after food for 2 days, then SOS for fever. Benadryl syrup 5 ml twice a day.",and mild body ache since one day. Please write medications. Crocin 500 mg twice a day after food for two days then SOS for fever. Benadryl syrup 5 ml twice a day.
After food for 5 days. Steam inhalation 3 to 4 times a day for 5 days. Neurobion Fort once a day in the afternoon after food for 5 days. Salt water lukewarm gargle thrice a day for 5 days.,after food for five days. Steam inhalation three to four times a day for five days. Neurobion fort once a day in the afternoon after food for five days. Salt water lukewarm gargle thrice a day for five days.
"Write fever since 5 days,intermittent, without any diurnal variation, without chills, without rigors. Cough productive since 3 days.","Okay, please write fever since five days, intermittent, without any diurnal variation, without chills, without rigors. Cough productive since three days."
"On a GINA 3 protocol, the treatment will include education and counselling, which is also being done with using, aids given to him, and additionally we will start inhalers on him. The inhalers include Foracort , 200 two puffs twice a day synchro breathe.","on a Gina three protocol. The treatment will include education and counseling, which is also being done with using aids given to him. And additionally, we will start inhalers on him. The inhalers include Foracort 200 two puffs twice a day syncro breathe."
Veloz 20 Tablet,Veloz 20 tablet.
lansoprazole,Lansoprazole.
transient loc last night after he woke up and passed urine found himself on the floor facial injuries seen at knh tt given,Transit lock last night after he woke up and passed urine found himself on the floor. Facial injuries seen at KNH TT given.
"Equivert 24mg Tablet is used to prevent and treat a disorder of the inner ear known as Mnires disease. The symptoms include dizziness vertigo, ringing in the ears tinnitus and loss of hearing, probably caused by fluid in the ear.","Equivert 20 4 mg tablet is used to prevent and treat a disorder of inner ear known as miniers disease. This symptom include dizziness, vertigo, ringing in the ear, tinnitus and loss of hearing probably caused by the fluid in ear."
"Cefurica 250mg Tablet is an antibiotic medicine used to treat bacterial infections in your body. It is effective in infections of the lungs e.g. pneumonia, ear, throat, nasal sinus, urinary tract, skin, soft tissues, bones, and joints.","Cefrica 250 mg tablet is an antibiotic medicine used to used to treat bacterial infection in our body. It is effective in infections of lungs, example pneumonia, ear, throat, nasal sinus, urinary tract, skin, soft tissues, bone and joint."
"Sulpra 100mg Tablet is a prescription medicine used in the treatment of schizophrenia, a mental disorder that can result in hallucinations or delusions and also adversely affects a persons ability to think and behave.",Supra 100 mg tablet is a prescription medicine used in treatment of schizophrenia a mental disorder that can result in hallucination or delusion and also adversely affect a person's ability to think and behave.
"After thorough examination of the patient, the dentist diagnosed it as chronic periodontitis and pulpitis of the left upper second incisor. The dentist advised her oral hygiene and extraction at a later date.","After thorough examination of the patient, the dentist diagnosed it as chronic periodontitis and pulpitis of left upper second incisor. The dentist advised her oral hygiene and extraction at a later stage."
Repadone 1mg Tablet is a prescription medicine used in the treatment of schizophrenia a mental disorder that can result in hallucinations or delusions and also adversely affects a persons ability to think and behave and mania.,"Repardon 1mg tablet is a prescription medicine used in treatment of schizophrenia, a mental disorder that can result in hallucination or delusion and also adversely affect a person's ability to think and behave and mania."
The patient had already been admitted to a secondary care hospital 3 months earlier with complaints of right mandibular discomfort and slight tumefaction. A biopsy was then performed and the diagnosis of ameloblastic carcinoma was made histologically.,The patient had already the patient had already been admitted to secondary care hospital three months earlier with complaints of right mandibular discomfort and slight tumification. The biopsy was then performed and diagnosis of the ameloblastic carcinoma was made histological.
"Nuclear positron emission tomography-computed tomography showing multiple foci involving lymph nodes at the paratracheal, left supraclavicular, para-aortic, and right inguinal regions. There was also hypermetabolic activity involving bilateral lung parenchyma and left tenth rib",न्यूक्लियर पॉजिट्रोन एमिशन टोमोग्राफी कंप्यूटराइज टोमोग्राफी शोइंग मल्टीपल फोकाई इवॉल्विंग लिंफ नोड्स एट पैरा ट्रेकियल लेफ्ट सुप्रा क्लेविकुलर पैरा पैरा एरोटिक एंड राइट इंग्वाइनल रीजन दे देयर वेर देयर वाज आल्सो हाइपर मेटाबॉलिक एक्टिविटी इवॉल्विंग द बायलट लंग पैरेंकाइमा एंड लेफ्ट टंसिल
Figure shows an overview of all diagnostic and therapeutic measures taken and their outcome over time. The patient had an abdominal sonography on 25 October 2013 where a tumorous mass of 3.5  2 cm was detected.,Figure shows an overview of all diagnostic and therapeutic measures taken and their outcome over time. The patient had an abdominal sonography on 25th October 2013 where a tumorous mass of 3.5 cm into 2 cm was detected.
"She had been treated with assisted reproductive technologies including artificial insemination and in vitro fertilization for over four years. During her treatment for infertility, cytological review followed by colposcopic biopsy revealed an invasive nonkeratinizing squamous cell carcinoma SCC.","She had been treated with assisted reproductive technologies including artificial insemination and in vitro fertilization for over four years. During her treatment for infertility, cytological review followed by colposcopic biopsy revealed an invasive non-keratinizing squamous cell carcinoma, SCC."
"Clinical examination revealed upper limb hypertension, with similar blood pressures in both arms 180/100 mm Hg. His past history included repair of coarctation of aorta about 30 years ago.",क्लिनिकल एग्जामिनेशन रिवील्ड अपर लिम हाइपरटेंशन विद सिमिलर ब्लड प्रेशर इन बोथ आर्म्स 180 बाय 100 एमएम एचजी हिज पास्ट हिस्ट्री इंक्लूडेड रिपेयर ऑफ कोक्टेशन ऑफ आयोटा अबाउट 30 इयर्स अगो
"Nova CV 500mg/125mg Tablet is a penicillin-type of antibiotic that helps your body fight infections caused by bacteria. It is used to treat infections of the lungs e.g., pneumonia, ear, nasal sinus, urinary tract, skin and soft tissue.","Nova CV 500 mg by 125 mg tablet is a penicillin type of antibiotic that helps your body fight infections caused by bacteria. It is used to treat infections of the lungs, example pneumonia, ear, nasal sinus, urinary tract, skin, and soft tissue."
Thyrogear 125mcg Tablet is a medicine used to treat an underactive thyroid gland hypothyroidism. It replaces the hormone which is not being produced by your thyroid gland in sufficient quantity and helps regulate your bodys energy and metabolism.,"Thyrocare 125 microgram tablet is a medicine used to treat an underactive thyroid gland, hypothyroidism. It replaces the hormone which is not being produced by your thyroid gland in sufficient quantity and helps regulate your body's energy and metabolism."
"Almox 250 Capsule is a penicillin-type of antibiotic used to treat a variety of bacterial infections. It is effective in infections of the throat, ear, nasal sinuses, respiratory tract e.g., pneumonia, urinary tract, skin and soft tissue, and typhoid fever.","Almox 250 capsule is a penicillin type of antibiotic used to treat a variety of bacterial infections. It is effective in infections of the throat, ear, nasal sinuses, respiratory tract, example pneumonia, urinary tract, skin and soft tissue, and typhoid fever."
"Transthoracic echocardiography. Parasternal short axis view at the level of the aortic valve reveals a 24  17 mm sized myxoma arrow. Ao aorta, RA right atrium, RV right ventricle.","Transthoracic echocardiography, parasternal short axis view at the level of the aortic valve reveals a 24 17 mm sized mixoma arrow. Ao aorta, RA right atrium, RV right ventricle."
"Vascular ultrasonography. Preoperative vascular ultrasonography at the proximal right upper arm of subject 1 demonstrates high arterial bifurcation of brachial into radial and ulnar arteries. Also seen are 2 radial veins , one ulnar vein #, and the basilic vein.","Vascular ultrasonography. Preoperative vascular ultrasonography at the proximal right upper arm of subject one demonstrates high arterial bifurcation of brachial into radial and ulnar arteries. Also seen are two radial veins, one ulnar vein, and the basilic vein."
"The patient has a known drug allergy since 2015 presenting with rash and respiratory distress. Additionally, the patient is allergic to dust, with a history of steroid-induced hyperglycemia. The patient has also experienced adverse reactions to a previous medication.","The patient has a known drug allergy since 2015, presenting with rash and respiratory distress. Additionally, the patient is allergic to dust with a history of steroid induced hyperglycemia. The patient has also experienced adverse reactions to a previous medication."
"ABSOLUTE LYMPHOCYTES COUNT, the value is 4093.0 10*3/mm3
BLOOD SUGAR RANDOM, the value is 102.3 mg/dL
Volume, the value is 20.0 mL
",Absolute lymphocytes count the value is 4093.010 in 3 mm millimeter cube blood sugar random the value is 102.3 mg per dl volume the value is 20.08.
"The patient has a history of steroid-induced hyperglycemia, chronic allergy with unknown triggers, and statin-induced myopathy. Additionally, an amlodipine-induced reaction with hypotension and edema was reported, which led to the medication being stopped.","The patient has a history of steroid induced hyperglycemia, chronic allergy with unknown triggers and stain induced statin induced myopathy. Additionally an amlodipine induced reaction with hypotension and edema was reported which led to medication being stopped."
"Leecast M 5mg/10mg Tablet is a combination medicine used in the treatment of allergic symptoms such as runny nose, stuffy nose, sneezing, itching, swelling, watery eyes and congestion or stuffiness.","Lee cast 5 mg/10 mg tablet is a combination medicine used in treatment of allergic symptoms such as runny nose, stuffy nose, sneezing, itching, swelling, watery eyes and congestion or stuffiness."
"Absolute Monocyte Count, the value is 0.16 10*3/mm3
ABSOLUTE LYMPHOCYTE, the value is 1610.0 10*3/mm3
GFR Estimated, the value is 72.0 mL/min/1.73_m2
","Absolute monocyte count, the value is 0.16 10 to the power 3 per mm cube. Absolute lymphocyte, the value is 1610 10 to the power 3 per mm cube. GFR estimated, the value is 72 ml per minute per 1.73 m square."
"Biselect 2.5 Tablet belongs to a group of medicines called beta-blockers. It is used to treat high blood pressure hypertension, angina heart-related chest pain, irregular heart rhythms arrhythmia. It also helps to prevent future heart attacks and to prevent migraines.","Bysilek 2.5 tablet belongs to a group of medicine called beta blockers. It is used to treat high blood pressure, hypertension, angina, heart related chest pain, irregular heart rhythms, arrhythmia. It also helps to prevent future heart attacks and prevent migraine."
Moxivin LB 500mg/125mg Tablet is a combination medicine that is used to treat various types of bacterial infections. It fights against the microorganisms to prevent their growth and further spread of the infection.,Moxivin LB 500 mg per 125 mg tablet is combination medicine that is used to treat various types of bacterial infections. It fights against the microorganisms to prevent their growth and further spread of the infection.
"Computed tomography of the abdomen on second presentation revealing mild upper abdominal periaortic stranding with mural thickening of the aorta red arrow, similar in appearance to the left common carotid artery from the original computed tomography of her neck Fig.1",Computer tomography of the abdomen on second presentation revealing mild upper abdominal peri aortic stranding with mural thickening of aorta red arrow similar in appearance to left common carotid artery from the original computer tomography of her figure of her neck figure point one.
"Ethambutol is an antibacterial agent, prescribed for tuberculosis TB. Ethambutol stops the growth of TB cells. When should Ethambutol not to be taken Contraindicated in patients with known optic neuritis optic nerve inflammation and hypersensitivity.","Ethambutol is an antibacterial agent prescribed for tuberculosis. Ethambutol stops the growth of TB cells. When should ethambutol not be taken? Contraindicated in patients with known optic neuritis, optic nerve inflammation, and hypersensitivity."
"Patient has a standing job, which promotes better posture and circulation compared to a sedentary desk job. Patient is also a driver, which requires prolonged sitting and may contribute to lower back pain if not accompanied by regular stretching exercises.",Patient has a standing job which promotes better postures and circulation compared to a sedentary desktop. Patient is also a driver which requires prolonged sitting and may contribute to lower back pain if not accompanied by regular stretching exercises.
The patient had a history of recurrent abdominal pain for the last two years. Each episode was characteristic of severe central abdominal pain along with vomiting. He had multiple admissions as a result of these episodes.,The patient had a history of recurrent abdominal pain for last two years. Each episode was characteristic of severe central abdominal pain along with vomiting. He had multiple admissions as a result of these episodes.
"The image showed the oval foramen, located at the upper third of the mandibular ramus, inside of the condyle, penetrating the ophthalmic branch of the trigeminal ganglion toward the medial corner of the oval foramen arrow.",The image showed the oval foramen located at upper third of mandibular ramus inside of the condyle penetrating the opthalmic branch of trigeminal ganglion towards the medial corner of oval foramen.
Magnetic resonance imaging scan of the cervical spinal cord of the intramedullary abscess upon admission. This sagittal T2-weighted image shows an expansile intramedullary area of increased T2 signaling present in the spinal cord from C2 to C5,Magnetic resonance image imaging scan of the cervical spinal cord of the intramedullary abscess upon admission. This sagittal T2 weighted image shows an expansile intramedullary area of increased T2 signaling present in spinal cord from C2 to C5.
Flatulex 250mg Capsule is used in the treatment of bloating and abdominal pain. It relieves discomfort and pain caused by excessive gas in the stomach and intestines in conditions such as flatulence and post operative gaseous distention.,Flatulax 250 mg tablet is used to treatment of bloating and abdominal pain. It release discomfort and pain caused by excessive gas in stomach and intestine in condition such as flatulence and post operative gaseous distension.
"Display of end-systolic image from apical 4-chamber view after six month of treatment with pioglitazone. The white, thicker, arrow indicates the newly developed moderate mitral regurgitation.  ",Display of end systolic image from apical fourth chamber view after six months of treatment with pioglitazone. The white thicker arrow indicates a newly developed moderate mitral regurgitation.
Euthyrox 25 Tablet is a medicine used to treat an underactive thyroid gland hypothyroidism. It replaces the hormone which is not being produced by your thyroid gland in sufficient quantity and helps regulate your bodys energy and metabolism.,Uthyrox 25 mg tablet is a medicine used to treat an underactive thyroid gland hypothyroidism. It replaces hormone which is not being produced by your thyroid gland in sufficient quantity and helps regulate your body energy and metabolism.
"Biafine is a water-based emulsion, prescribed for various types of wounds. Biafine provides a moisturizer environment for the healing process. When should Biafine not to be taken Contraindicated in patients with bleeding wounds, allergic rashes and known hypersensitivity.","Biafine is a water based emulsions prescribed for various types of wounds. Biafine is provides moisturizer environment for healing process. When should Biafine not be taken? Contradicted in patients with bleeding wounds, allergic rashes and known hypersensitivity."
"She presents with worsening headache for three months with associated vertigo, nausea, and vomiting not responding to analgesics or vestibular sedatives. Her symptoms initially started twelve years ago as a diffused mild headache, which persisted through the day.","She presents with worsening headache for three months with associated vertigo, nausea, and vomiting, not responding to analgesics or vestibular sedatives. Her symptoms initially started 12 years ago as a diffused mild headache which persisted through the day."
"Feminizing surgery, also called gender-affirming surgery or gender-confirmation surgery, involves procedures that help better align the body with a person's gender identity. Feminizing surgery includes several options, such as top surgery to increase the size of the breasts.",Feminizing surgery also called gender affirming surgery or gender confirmation surgery involves procedures that help better align the body with a person's gender identity. Feminizing surgery includes several options such as top surgery to increase the size of breasts.
